trait	trait_id	trait_name	description	value	value_description	alternative_value	type	source_token	source_name
t307_smoke_quit_year	307	smoke_quit_year	Which year did you quit smoking?	9999999	missing		continuous	QUPG	question form popgen
t308_smoke_start_year	308	smoke_start_year	Which year did you start smoking?	1900 - 2030			continuous	QUPG	question form popgen
t308_smoke_start_year	308	smoke_start_year	Which year did you start smoking?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t308_smoke_start_year	308	smoke_start_year	Which year did you start smoking?	9999999	missing		continuous	QUPG	question form popgen
t366_diabetes_year	366	diabetes_year	Which year did the diabetes occur?	1900 - 2030			continuous	QUPG	question form popgen
t366_diabetes_year	366	diabetes_year	Which year did the diabetes occur?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t366_diabetes_year	366	diabetes_year	Which year did the diabetes occur?	9999999	missing		continuous	QUPG	question form popgen
t375_liver_disease1_year	375	liver_disease1_year	Which year did the first liver disease occur?	1900 - 2030			continuous	QUPG	question form popgen
t375_liver_disease1_year	375	liver_disease1_year	Which year did the first liver disease occur?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t375_liver_disease1_year	375	liver_disease1_year	Which year did the first liver disease occur?	9999999	missing		continuous	QUPG	question form popgen
t376_liver_disease2_year	376	liver_disease2_year	Which year did the second liver disease occur?	1900 - 2030			continuous	QUPG	question form popgen
t376_liver_disease2_year	376	liver_disease2_year	Which year did the second liver disease occur?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t376_liver_disease2_year	376	liver_disease2_year	Which year did the second liver disease occur?	9999999	missing		continuous	QUPG	question form popgen
t392_diabetes_age	392	diabetes_age	How old have you been when the diabetes occured?	0 - 110			continuous	QUPG	question form popgen
t392_diabetes_age	392	diabetes_age	How old have you been when the diabetes occured?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t392_diabetes_age	392	diabetes_age	How old have you been when the diabetes occured?	9999999	missing		continuous	QUPG	question form popgen
t403_liver_disease1_age	403	liver_disease1_age	How old have you been when the first liver disease occured?	0 - 110			continuous	QUPG	question form popgen
t403_liver_disease1_age	403	liver_disease1_age	How old have you been when the first liver disease occured?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t403_liver_disease1_age	403	liver_disease1_age	How old have you been when the first liver disease occured?	9999999	missing		continuous	QUPG	question form popgen
t404_liver_disease2_age	404	liver_disease2_age	How old have you been when the second liver disease occured?	0 - 110			continuous	QUPG	question form popgen
t404_liver_disease2_age	404	liver_disease2_age	How old have you been when the second liver disease occured?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t404_liver_disease2_age	404	liver_disease2_age	How old have you been when the second liver disease occured?	9999999	missing		continuous	QUPG	question form popgen
t722_smoking_habits_3m	722	smoking_habits_3m	What are your smoking habits?	0	unknown		discrete	QUPG	question form popgen
t722_smoking_habits_3m	722	smoking_habits_3m	What are your smoking habits?	1	never smoked		discrete	QUPG	question form popgen
t722_smoking_habits_3m	722	smoking_habits_3m	What are your smoking habits?	2	smoked less than 3 months		discrete	QUPG	question form popgen
t722_smoking_habits_3m	722	smoking_habits_3m	What are your smoking habits?	3	smoked in the past		discrete	QUPG	question form popgen
t722_smoking_habits_3m	722	smoking_habits_3m	What are your smoking habits?	4	smoking now		discrete	QUPG	question form popgen
t722_smoking_habits_3m	722	smoking_habits_3m	What are your smoking habits?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t722_smoking_habits_3m	722	smoking_habits_3m	What are your smoking habits?	9999999	missing		discrete	QUPG	question form popgen
t883_gender	883	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	0	unknown		discrete	QUPG	question form popgen
t883_gender	883	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	1	male		discrete	QUPG	question form popgen
t883_gender	883	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	2	female		discrete	QUPG	question form popgen
t883_gender	883	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	3	other		discrete	QUPG	question form popgen
t883_gender	883	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t883_gender	883	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	9999999	missing		discrete	QUPG	question form popgen
t899_medication_regularly	899	medication_regularly	Do you take medicaments regularly?	0	unknown		discrete	QUPG	question form popgen
t899_medication_regularly	899	medication_regularly	Do you take medicaments regularly?	1	yes		discrete	QUPG	question form popgen
t899_medication_regularly	899	medication_regularly	Do you take medicaments regularly?	2	no		discrete	QUPG	question form popgen
t899_medication_regularly	899	medication_regularly	Do you take medicaments regularly?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t899_medication_regularly	899	medication_regularly	Do you take medicaments regularly?	9999999	missing		discrete	QUPG	question form popgen
t903_diabetes	903	diabetes	Has diabetes been diagnosed (follow-up studies before 05/2016: after the previous date of sampling)?	0	unknown		discrete	QUPG	question form popgen
t903_diabetes	903	diabetes	Has diabetes been diagnosed (follow-up studies before 05/2016: after the previous date of sampling)?	1	yes		discrete	QUPG	question form popgen
t903_diabetes	903	diabetes	Has diabetes been diagnosed (follow-up studies before 05/2016: after the previous date of sampling)?	2	no		discrete	QUPG	question form popgen
t903_diabetes	903	diabetes	Has diabetes been diagnosed (follow-up studies before 05/2016: after the previous date of sampling)?	3	do not know/ not examined		discrete	QUPG	question form popgen
t903_diabetes	903	diabetes	Has diabetes been diagnosed (follow-up studies before 05/2016: after the previous date of sampling)?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t903_diabetes	903	diabetes	Has diabetes been diagnosed (follow-up studies before 05/2016: after the previous date of sampling)?	9999999	missing		discrete	QUPG	question form popgen
t904_diabetes_type	904	diabetes_type	Which type of diabetes has been diagnosed?	0	unknown		discrete	QUPG	question form popgen
t904_diabetes_type	904	diabetes_type	Which type of diabetes has been diagnosed?	1	juvenile-onset diabetes (I)		discrete	QUPG	question form popgen
t904_diabetes_type	904	diabetes_type	Which type of diabetes has been diagnosed?	2	adult onset diabetes (II)		discrete	QUPG	question form popgen
t904_diabetes_type	904	diabetes_type	Which type of diabetes has been diagnosed?	3	other diabetes		discrete	QUPG	question form popgen
t904_diabetes_type	904	diabetes_type	Which type of diabetes has been diagnosed?	4	do not know		discrete	QUPG	question form popgen
t904_diabetes_type	904	diabetes_type	Which type of diabetes has been diagnosed?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t904_diabetes_type	904	diabetes_type	Which type of diabetes has been diagnosed?	9999999	missing		discrete	QUPG	question form popgen
t1598_medicaments_which	1598	medicaments_which	Description field: Which medicaments do you take regularly?	1	exists (see Excel file)		discrete	QUPG	question form popgen
t1598_medicaments_which	1598	medicaments_which	Description field: Which medicaments do you take regularly?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1598_medicaments_which	1598	medicaments_which	Description field: Which medicaments do you take regularly?	9999999	missing		discrete	QUPG	question form popgen
t1663_gender	1663	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	1	male		discrete	SACS	sample accompanying sheet
t1663_gender	1663	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	2	female		discrete	SACS	sample accompanying sheet
t1663_gender	1663	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	3	other		discrete	SACS	sample accompanying sheet
t1663_gender	1663	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	7777777	unreadable/inconsistent		discrete	SACS	sample accompanying sheet
t1663_gender	1663	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	9999999	missing		discrete	SACS	sample accompanying sheet
t1664_year_of_birth	1664	year_of_birth	Year of birth	1900 - 2030			continuous	SACS	sample accompanying sheet
t1664_year_of_birth	1664	year_of_birth	Year of birth	7777777	unreadable/inconsistent		continuous	SACS	sample accompanying sheet
t1664_year_of_birth	1664	year_of_birth	Year of birth	9999999	missing		continuous	SACS	sample accompanying sheet
t1693_passive_smoking	1693	passive_smoking	How often do you spend time in a room with smoking persons?	1	every day		discrete	QUPG	question form popgen
t1693_passive_smoking	1693	passive_smoking	How often do you spend time in a room with smoking persons?	2	several times a week		discrete	QUPG	question form popgen
t1693_passive_smoking	1693	passive_smoking	How often do you spend time in a room with smoking persons?	3	once a week		discrete	QUPG	question form popgen
t1693_passive_smoking	1693	passive_smoking	How often do you spend time in a room with smoking persons?	4	less than once a week		discrete	QUPG	question form popgen
t1693_passive_smoking	1693	passive_smoking	How often do you spend time in a room with smoking persons?	5	never		discrete	QUPG	question form popgen
t1693_passive_smoking	1693	passive_smoking	How often do you spend time in a room with smoking persons?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1693_passive_smoking	1693	passive_smoking	How often do you spend time in a room with smoking persons?	9999999	missing		discrete	QUPG	question form popgen
t1694_passive_smoking_hour	1694	passive_smoking_hour	How many hours per day do you spend in a room with smoking persons?	1	< 1 hour		discrete	QUPG	question form popgen
t1694_passive_smoking_hour	1694	passive_smoking_hour	How many hours per day do you spend in a room with smoking persons?	2	1 to 6 hours		discrete	QUPG	question form popgen
t1694_passive_smoking_hour	1694	passive_smoking_hour	How many hours per day do you spend in a room with smoking persons?	3	> 6 hours		discrete	QUPG	question form popgen
t1694_passive_smoking_hour	1694	passive_smoking_hour	How many hours per day do you spend in a room with smoking persons?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1694_passive_smoking_hour	1694	passive_smoking_hour	How many hours per day do you spend in a room with smoking persons?	9999999	missing		discrete	QUPG	question form popgen
t1695_smoke_baby	1695	smoke_baby	Did your parents smoke regularly when your were a baby?	1	yes		discrete	QUPG	question form popgen
t1695_smoke_baby	1695	smoke_baby	Did your parents smoke regularly when your were a baby?	2	no		discrete	QUPG	question form popgen
t1695_smoke_baby	1695	smoke_baby	Did your parents smoke regularly when your were a baby?	3	do not know		discrete	QUPG	question form popgen
t1695_smoke_baby	1695	smoke_baby	Did your parents smoke regularly when your were a baby?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1695_smoke_baby	1695	smoke_baby	Did your parents smoke regularly when your were a baby?	9999999	missing		discrete	QUPG	question form popgen
t1768_medicament_C	1768	medicament_C	Which medicaments do you take regularly?	1	hormone preparations		discrete	QUPG	question form popgen
t1768_medicament_C	1768	medicament_C	Which medicaments do you take regularly?	2	birth control pill		discrete	QUPG	question form popgen
t1768_medicament_C	1768	medicament_C	Which medicaments do you take regularly?	3	cortisone		discrete	QUPG	question form popgen
t1768_medicament_C	1768	medicament_C	Which medicaments do you take regularly?	4	pain medication		discrete	QUPG	question form popgen
t1768_medicament_C	1768	medicament_C	Which medicaments do you take regularly?	5	other		discrete	QUPG	question form popgen
t1768_medicament_C	1768	medicament_C	Which medicaments do you take regularly?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1768_medicament_C	1768	medicament_C	Which medicaments do you take regularly?	9999999	missing		discrete	QUPG	question form popgen
t1769_medicament_since	1769	medicament_since	Since when (year) do you take the medicament?	1900 - 2030			continuous	QUPG	question form popgen
t1769_medicament_since	1769	medicament_since	Since when (year) do you take the medicament?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t1769_medicament_since	1769	medicament_since	Since when (year) do you take the medicament?	9999999	missing		continuous	QUPG	question form popgen
t1770_medicament2_C	1770	medicament2_C	Which medicaments do you take regularly?	1	hormone preparations		discrete	QUPG	question form popgen
t1770_medicament2_C	1770	medicament2_C	Which medicaments do you take regularly?	2	birth control pill		discrete	QUPG	question form popgen
t1770_medicament2_C	1770	medicament2_C	Which medicaments do you take regularly?	3	cortisone		discrete	QUPG	question form popgen
t1770_medicament2_C	1770	medicament2_C	Which medicaments do you take regularly?	4	pain medication		discrete	QUPG	question form popgen
t1770_medicament2_C	1770	medicament2_C	Which medicaments do you take regularly?	5	other		discrete	QUPG	question form popgen
t1770_medicament2_C	1770	medicament2_C	Which medicaments do you take regularly?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1770_medicament2_C	1770	medicament2_C	Which medicaments do you take regularly?	9999999	missing		discrete	QUPG	question form popgen
t1771_medicament_since_2	1771	medicament_since_2	Since when (year) do you take the medicament? (2)	1900 - 2030			continuous	QUPG	question form popgen
t1771_medicament_since_2	1771	medicament_since_2	Since when (year) do you take the medicament? (2)	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t1771_medicament_since_2	1771	medicament_since_2	Since when (year) do you take the medicament? (2)	9999999	missing		continuous	QUPG	question form popgen
t1772_medicament3_C	1772	medicament3_C	Which medicaments do you take regularly?	1	hormone preparations		discrete	QUPG	question form popgen
t1772_medicament3_C	1772	medicament3_C	Which medicaments do you take regularly?	2	birth control pill		discrete	QUPG	question form popgen
t1772_medicament3_C	1772	medicament3_C	Which medicaments do you take regularly?	3	cortisone		discrete	QUPG	question form popgen
t1772_medicament3_C	1772	medicament3_C	Which medicaments do you take regularly?	4	pain medication		discrete	QUPG	question form popgen
t1772_medicament3_C	1772	medicament3_C	Which medicaments do you take regularly?	5	other		discrete	QUPG	question form popgen
t1772_medicament3_C	1772	medicament3_C	Which medicaments do you take regularly?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1772_medicament3_C	1772	medicament3_C	Which medicaments do you take regularly?	9999999	missing		discrete	QUPG	question form popgen
t1773_medicament_since_3	1773	medicament_since_3	Since when (year) do you take the medicament? (3)	1900 - 2030			continuous	QUPG	question form popgen
t1773_medicament_since_3	1773	medicament_since_3	Since when (year) do you take the medicament? (3)	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t1773_medicament_since_3	1773	medicament_since_3	Since when (year) do you take the medicament? (3)	9999999	missing		continuous	QUPG	question form popgen
t1774_antibiotics_6_month	1774	antibiotics_6_month	Have you taken antibiotics during the last 6 months?	1	yes		discrete	QUPG	question form popgen
t1774_antibiotics_6_month	1774	antibiotics_6_month	Have you taken antibiotics during the last 6 months?	2	no		discrete	QUPG	question form popgen
t1774_antibiotics_6_month	1774	antibiotics_6_month	Have you taken antibiotics during the last 6 months?	3	do not know		discrete	QUPG	question form popgen
t1774_antibiotics_6_month	1774	antibiotics_6_month	Have you taken antibiotics during the last 6 months?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1774_antibiotics_6_month	1774	antibiotics_6_month	Have you taken antibiotics during the last 6 months?	9999999	missing		discrete	QUPG	question form popgen
t1799_IBD_or_suspicion	1799	IBD_or_suspicion	Have you been diagnosed with an inflammatory bowel disease or is an IBD suspected (follow-up of studies before 05/2016: after the previous date of sampling)?	1	yes		discrete	QUPG	question form popgen
t1799_IBD_or_suspicion	1799	IBD_or_suspicion	Have you been diagnosed with an inflammatory bowel disease or is an IBD suspected (follow-up of studies before 05/2016: after the previous date of sampling)?	2	no		discrete	QUPG	question form popgen
t1799_IBD_or_suspicion	1799	IBD_or_suspicion	Have you been diagnosed with an inflammatory bowel disease or is an IBD suspected (follow-up of studies before 05/2016: after the previous date of sampling)?	3	suspicion		discrete	QUPG	question form popgen
t1799_IBD_or_suspicion	1799	IBD_or_suspicion	Have you been diagnosed with an inflammatory bowel disease or is an IBD suspected (follow-up of studies before 05/2016: after the previous date of sampling)?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1799_IBD_or_suspicion	1799	IBD_or_suspicion	Have you been diagnosed with an inflammatory bowel disease or is an IBD suspected (follow-up of studies before 05/2016: after the previous date of sampling)?	9999999	missing		discrete	QUPG	question form popgen
t1800_IBD_type_C	1800	IBD_type_C	Which type of inflammatory bowel disease was diagnosed?	0	unknown		discrete	QUPG	question form popgen
t1800_IBD_type_C	1800	IBD_type_C	Which type of inflammatory bowel disease was diagnosed?	1	Crohn´s disease		discrete	QUPG	question form popgen
t1800_IBD_type_C	1800	IBD_type_C	Which type of inflammatory bowel disease was diagnosed?	2	ulcerative colitis		discrete	QUPG	question form popgen
t1800_IBD_type_C	1800	IBD_type_C	Which type of inflammatory bowel disease was diagnosed?	3	IBD, not defined		discrete	QUPG	question form popgen
t1800_IBD_type_C	1800	IBD_type_C	Which type of inflammatory bowel disease was diagnosed?	4	suspicion of IBD		discrete	QUPG	question form popgen
t1800_IBD_type_C	1800	IBD_type_C	Which type of inflammatory bowel disease was diagnosed?	5	other IBD		discrete	QUPG	question form popgen
t1800_IBD_type_C	1800	IBD_type_C	Which type of inflammatory bowel disease was diagnosed?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1800_IBD_type_C	1800	IBD_type_C	Which type of inflammatory bowel disease was diagnosed?	9999999	missing		discrete	QUPG	question form popgen
t1801_IBD_year	1801	IBD_year	In which year was your inflammatory bowel disease first diagnosed?	1900 - 2030			continuous	QUPG	question form popgen
t1801_IBD_year	1801	IBD_year	In which year was your inflammatory bowel disease first diagnosed?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t1801_IBD_year	1801	IBD_year	In which year was your inflammatory bowel disease first diagnosed?	9999999	missing		continuous	QUPG	question form popgen
t1802_IBD_age	1802	IBD_age	How old were you when your inflammatory bowel disease was diagnosed?	0 - 120			continuous	QUPG	question form popgen
t1802_IBD_age	1802	IBD_age	How old were you when your inflammatory bowel disease was diagnosed?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t1802_IBD_age	1802	IBD_age	How old were you when your inflammatory bowel disease was diagnosed?	9999999	missing		continuous	QUPG	question form popgen
t1803_IBD_type2_C	1803	IBD_type2_C	Which type of inflammatory bowel disease was diagnosed? (2)	1	Crohn´s disease		discrete	QUPG	question form popgen
t1803_IBD_type2_C	1803	IBD_type2_C	Which type of inflammatory bowel disease was diagnosed? (2)	2	ulcerative colitis		discrete	QUPG	question form popgen
t1803_IBD_type2_C	1803	IBD_type2_C	Which type of inflammatory bowel disease was diagnosed? (2)	3	IBD, not defined		discrete	QUPG	question form popgen
t1803_IBD_type2_C	1803	IBD_type2_C	Which type of inflammatory bowel disease was diagnosed? (2)	4	suspicion of IBD		discrete	QUPG	question form popgen
t1803_IBD_type2_C	1803	IBD_type2_C	Which type of inflammatory bowel disease was diagnosed? (2)	5	other IBD		discrete	QUPG	question form popgen
t1803_IBD_type2_C	1803	IBD_type2_C	Which type of inflammatory bowel disease was diagnosed? (2)	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1803_IBD_type2_C	1803	IBD_type2_C	Which type of inflammatory bowel disease was diagnosed? (2)	9999999	missing		discrete	QUPG	question form popgen
t1804_IBD_year2	1804	IBD_year2	In which year was your inflammatory bowel disease first diagnosed? (2)	1900 - 2030			continuous	QUPG	question form popgen
t1804_IBD_year2	1804	IBD_year2	In which year was your inflammatory bowel disease first diagnosed? (2)	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t1804_IBD_year2	1804	IBD_year2	In which year was your inflammatory bowel disease first diagnosed? (2)	9999999	missing		continuous	QUPG	question form popgen
t1805_IBD_age2	1805	IBD_age2	How old were you when your inflammatory bowel disease was diagnosed? (2)	0 - 120			continuous	QUPG	question form popgen
t1805_IBD_age2	1805	IBD_age2	How old were you when your inflammatory bowel disease was diagnosed? (2)	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t1805_IBD_age2	1805	IBD_age2	How old were you when your inflammatory bowel disease was diagnosed? (2)	9999999	missing		continuous	QUPG	question form popgen
t1812_IBD_symptom_1	1812	IBD_symptom_1	Which were the first symptoms leading you to a physician? (1)	0	unknown		discrete	QUPG	question form popgen
t1812_IBD_symptom_1	1812	IBD_symptom_1	Which were the first symptoms leading you to a physician? (1)	1	diarrhea		discrete	QUPG	question form popgen
t1812_IBD_symptom_1	1812	IBD_symptom_1	Which were the first symptoms leading you to a physician? (1)	2	abdominal pain		discrete	QUPG	question form popgen
t1812_IBD_symptom_1	1812	IBD_symptom_1	Which were the first symptoms leading you to a physician? (1)	3	nausea		discrete	QUPG	question form popgen
t1812_IBD_symptom_1	1812	IBD_symptom_1	Which were the first symptoms leading you to a physician? (1)	4	reduction of weight		discrete	QUPG	question form popgen
t1812_IBD_symptom_1	1812	IBD_symptom_1	Which were the first symptoms leading you to a physician? (1)	5	blood in stool		discrete	QUPG	question form popgen
t1812_IBD_symptom_1	1812	IBD_symptom_1	Which were the first symptoms leading you to a physician? (1)	6	anemia		discrete	QUPG	question form popgen
t1812_IBD_symptom_1	1812	IBD_symptom_1	Which were the first symptoms leading you to a physician? (1)	7	abdominal induration		discrete	QUPG	question form popgen
t1812_IBD_symptom_1	1812	IBD_symptom_1	Which were the first symptoms leading you to a physician? (1)	8	other		discrete	QUPG	question form popgen
t1812_IBD_symptom_1	1812	IBD_symptom_1	Which were the first symptoms leading you to a physician? (1)	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1812_IBD_symptom_1	1812	IBD_symptom_1	Which were the first symptoms leading you to a physician? (1)	9999999	missing		discrete	QUPG	question form popgen
t1813_IBD_symptom_2	1813	IBD_symptom_2	Which were the first symptoms leading you to a physician? (2)	1	diarrhea		discrete	QUPG	question form popgen
t1813_IBD_symptom_2	1813	IBD_symptom_2	Which were the first symptoms leading you to a physician? (2)	2	abdominal pain		discrete	QUPG	question form popgen
t1813_IBD_symptom_2	1813	IBD_symptom_2	Which were the first symptoms leading you to a physician? (2)	3	nausea		discrete	QUPG	question form popgen
t1813_IBD_symptom_2	1813	IBD_symptom_2	Which were the first symptoms leading you to a physician? (2)	4	reduction of weight		discrete	QUPG	question form popgen
t1813_IBD_symptom_2	1813	IBD_symptom_2	Which were the first symptoms leading you to a physician? (2)	5	blood in stool		discrete	QUPG	question form popgen
t1813_IBD_symptom_2	1813	IBD_symptom_2	Which were the first symptoms leading you to a physician? (2)	6	anemia		discrete	QUPG	question form popgen
t1813_IBD_symptom_2	1813	IBD_symptom_2	Which were the first symptoms leading you to a physician? (2)	7	abdominal induration		discrete	QUPG	question form popgen
t1813_IBD_symptom_2	1813	IBD_symptom_2	Which were the first symptoms leading you to a physician? (2)	8	other		discrete	QUPG	question form popgen
t1813_IBD_symptom_2	1813	IBD_symptom_2	Which were the first symptoms leading you to a physician? (2)	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1813_IBD_symptom_2	1813	IBD_symptom_2	Which were the first symptoms leading you to a physician? (2)	9999999	missing		discrete	QUPG	question form popgen
t1814_IBD_symptom_3	1814	IBD_symptom_3	Which were the first symptoms leading you to a physician? (3)	1	diarrhea		discrete	QUPG	question form popgen
t1814_IBD_symptom_3	1814	IBD_symptom_3	Which were the first symptoms leading you to a physician? (3)	2	abdominal pain		discrete	QUPG	question form popgen
t1814_IBD_symptom_3	1814	IBD_symptom_3	Which were the first symptoms leading you to a physician? (3)	3	nausea		discrete	QUPG	question form popgen
t1814_IBD_symptom_3	1814	IBD_symptom_3	Which were the first symptoms leading you to a physician? (3)	4	reduction of weight		discrete	QUPG	question form popgen
t1814_IBD_symptom_3	1814	IBD_symptom_3	Which were the first symptoms leading you to a physician? (3)	5	blood in stool		discrete	QUPG	question form popgen
t1814_IBD_symptom_3	1814	IBD_symptom_3	Which were the first symptoms leading you to a physician? (3)	6	anemia		discrete	QUPG	question form popgen
t1814_IBD_symptom_3	1814	IBD_symptom_3	Which were the first symptoms leading you to a physician? (3)	7	abdominal induration		discrete	QUPG	question form popgen
