trait	trait_id	trait_name	description	value	value_description	alternative_value	type	source_token	source_name
t292_quit_cigarettes_year	292	quit_cigarettes_year	In case the patient stopped smoking cigarettes at a different point of time than pipes/cigars: Which year did you quit smoking cigarettes?	1900 - 2030			continuous	QUPG	question form popgen
t292_quit_cigarettes_year	292	quit_cigarettes_year	In case the patient stopped smoking cigarettes at a different point of time than pipes/cigars: Which year did you quit smoking cigarettes?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t292_quit_cigarettes_year	292	quit_cigarettes_year	In case the patient stopped smoking cigarettes at a different point of time than pipes/cigars: Which year did you quit smoking cigarettes?	9999999	missing		continuous	QUPG	question form popgen
t293_quit_pipes_year	293	quit_pipes_year	In case the patient stopped smoking cigarettes at a different point of time than pipes/cigars: Which year did you quit smoking pipes/cigars?	1900 - 2030			continuous	QUPG	question form popgen
t293_quit_pipes_year	293	quit_pipes_year	In case the patient stopped smoking cigarettes at a different point of time than pipes/cigars: Which year did you quit smoking pipes/cigars?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t293_quit_pipes_year	293	quit_pipes_year	In case the patient stopped smoking cigarettes at a different point of time than pipes/cigars: Which year did you quit smoking pipes/cigars?	9999999	missing		continuous	QUPG	question form popgen
t305_smoke_quit_age	305	smoke_quit_age	What age did you quit smoking at?	0 - 110			continuous	QUPG	question form popgen
t305_smoke_quit_age	305	smoke_quit_age	What age did you quit smoking at?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t305_smoke_quit_age	305	smoke_quit_age	What age did you quit smoking at?	9999999	missing		continuous	QUPG	question form popgen
t306_smoke_start_age	306	smoke_start_age	What age did you start smoking at?	0 - 110			continuous	QUPG	question form popgen
t306_smoke_start_age	306	smoke_start_age	What age did you start smoking at?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t306_smoke_start_age	306	smoke_start_age	What age did you start smoking at?	9999999	missing		continuous	QUPG	question form popgen
t307_smoke_quit_year	307	smoke_quit_year	Which year did you quit smoking?	1900 - 2030			continuous	QUPG	question form popgen
t307_smoke_quit_year	307	smoke_quit_year	Which year did you quit smoking?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t307_smoke_quit_year	307	smoke_quit_year	Which year did you quit smoking?	9999999	missing		continuous	QUPG	question form popgen
t308_smoke_start_year	308	smoke_start_year	Which year did you start smoking?	1900 - 2030			continuous	QUPG	question form popgen
t308_smoke_start_year	308	smoke_start_year	Which year did you start smoking?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t308_smoke_start_year	308	smoke_start_year	Which year did you start smoking?	9999999	missing		continuous	QUPG	question form popgen
t366_diabetes_year	366	diabetes_year	Which year did the diabetes occur?	1900 - 2030			continuous	QUPG	question form popgen
t366_diabetes_year	366	diabetes_year	Which year did the diabetes occur?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t366_diabetes_year	366	diabetes_year	Which year did the diabetes occur?	9999999	missing		continuous	QUPG	question form popgen
t375_liver_disease1_year	375	liver_disease1_year	Which year did the first liver disease occur?	1900 - 2030			continuous	QUPG	question form popgen
t375_liver_disease1_year	375	liver_disease1_year	Which year did the first liver disease occur?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t375_liver_disease1_year	375	liver_disease1_year	Which year did the first liver disease occur?	9999999	missing		continuous	QUPG	question form popgen
t376_liver_disease2_year	376	liver_disease2_year	Which year did the second liver disease occur?	1900 - 2030			continuous	QUPG	question form popgen
t376_liver_disease2_year	376	liver_disease2_year	Which year did the second liver disease occur?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t376_liver_disease2_year	376	liver_disease2_year	Which year did the second liver disease occur?	9999999	missing		continuous	QUPG	question form popgen
t392_diabetes_age	392	diabetes_age	How old have you been when the diabetes occured?	0 - 110			continuous	QUPG	question form popgen
t392_diabetes_age	392	diabetes_age	How old have you been when the diabetes occured?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t392_diabetes_age	392	diabetes_age	How old have you been when the diabetes occured?	9999999	missing		continuous	QUPG	question form popgen
t403_liver_disease1_age	403	liver_disease1_age	How old have you been when the first liver disease occured?	0 - 110			continuous	QUPG	question form popgen
t403_liver_disease1_age	403	liver_disease1_age	How old have you been when the first liver disease occured?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t403_liver_disease1_age	403	liver_disease1_age	How old have you been when the first liver disease occured?	9999999	missing		continuous	QUPG	question form popgen
t404_liver_disease2_age	404	liver_disease2_age	How old have you been when the second liver disease occured?	0 - 110			continuous	QUPG	question form popgen
t404_liver_disease2_age	404	liver_disease2_age	How old have you been when the second liver disease occured?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t404_liver_disease2_age	404	liver_disease2_age	How old have you been when the second liver disease occured?	9999999	missing		continuous	QUPG	question form popgen
t722_smoking_habits_3m	722	smoking_habits_3m	What are your smoking habits?	0	unknown		discrete	QUPG	question form popgen
t722_smoking_habits_3m	722	smoking_habits_3m	What are your smoking habits?	1	never smoked		discrete	QUPG	question form popgen
t722_smoking_habits_3m	722	smoking_habits_3m	What are your smoking habits?	2	smoked less than 3 months		discrete	QUPG	question form popgen
t722_smoking_habits_3m	722	smoking_habits_3m	What are your smoking habits?	3	smoked in the past		discrete	QUPG	question form popgen
t722_smoking_habits_3m	722	smoking_habits_3m	What are your smoking habits?	4	smoking now		discrete	QUPG	question form popgen
t722_smoking_habits_3m	722	smoking_habits_3m	What are your smoking habits?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t722_smoking_habits_3m	722	smoking_habits_3m	What are your smoking habits?	9999999	missing		discrete	QUPG	question form popgen
t723_smoking	723	smoking	Have you ever smoked?	0	unknown		discrete	QUPG	question form popgen
t723_smoking	723	smoking	Have you ever smoked?	1	yes		discrete	QUPG	question form popgen
t723_smoking	723	smoking	Have you ever smoked?	2	no		discrete	QUPG	question form popgen
t723_smoking	723	smoking	Have you ever smoked?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t723_smoking	723	smoking	Have you ever smoked?	9999999	missing		discrete	QUPG	question form popgen
t774_liver_disease1	774	liver_disease1	Which (first) liver disease do you suffer from?	1	infectious hepatitis: A,B,C,D		discrete	QUPG	question form popgen
t774_liver_disease1	774	liver_disease1	Which (first) liver disease do you suffer from?	2	cirrhosis of the liver		discrete	QUPG	question form popgen
t774_liver_disease1	774	liver_disease1	Which (first) liver disease do you suffer from?	3	haemochromatosis		discrete	QUPG	question form popgen
t774_liver_disease1	774	liver_disease1	Which (first) liver disease do you suffer from?	4	autoimmune liver disease		discrete	QUPG	question form popgen
t774_liver_disease1	774	liver_disease1	Which (first) liver disease do you suffer from?	5	other		discrete	QUPG	question form popgen
t774_liver_disease1	774	liver_disease1	Which (first) liver disease do you suffer from?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t774_liver_disease1	774	liver_disease1	Which (first) liver disease do you suffer from?	9999999	missing		discrete	QUPG	question form popgen
t775_liver_disease2	775	liver_disease2	Which (second) liver disease do you suffer from?	1	infectious hepatitis: A,B,C,D		discrete	QUPG	question form popgen
t775_liver_disease2	775	liver_disease2	Which (second) liver disease do you suffer from?	2	cirrhosis of the liver		discrete	QUPG	question form popgen
t775_liver_disease2	775	liver_disease2	Which (second) liver disease do you suffer from?	3	haemochromatosis		discrete	QUPG	question form popgen
t775_liver_disease2	775	liver_disease2	Which (second) liver disease do you suffer from?	4	autoimmune liver disease		discrete	QUPG	question form popgen
t775_liver_disease2	775	liver_disease2	Which (second) liver disease do you suffer from?	5	other		discrete	QUPG	question form popgen
t775_liver_disease2	775	liver_disease2	Which (second) liver disease do you suffer from?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t775_liver_disease2	775	liver_disease2	Which (second) liver disease do you suffer from?	9999999	missing		discrete	QUPG	question form popgen
t789_IBD	789	IBD	Have you been diagnosed with inflammatory bowel disease?	0	unknown		discrete	QUPG	question form popgen
t789_IBD	789	IBD	Have you been diagnosed with inflammatory bowel disease?	1	yes		discrete	QUPG	question form popgen
t789_IBD	789	IBD	Have you been diagnosed with inflammatory bowel disease?	2	no		discrete	QUPG	question form popgen
t789_IBD	789	IBD	Have you been diagnosed with inflammatory bowel disease?	3	was not examined		discrete	QUPG	question form popgen
t789_IBD	789	IBD	Have you been diagnosed with inflammatory bowel disease?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t789_IBD	789	IBD	Have you been diagnosed with inflammatory bowel disease?	9999999	missing		discrete	QUPG	question form popgen
t829_medicament_B	829	medicament_B	What kind of medicaments do you take?	1	sex hormones		discrete	QUPG	question form popgen
t829_medicament_B	829	medicament_B	What kind of medicaments do you take?	2	birth control pill		discrete	QUPG	question form popgen
t829_medicament_B	829	medicament_B	What kind of medicaments do you take?	3	cortisone preparations		discrete	QUPG	question form popgen
t829_medicament_B	829	medicament_B	What kind of medicaments do you take?	4	other		discrete	QUPG	question form popgen
t829_medicament_B	829	medicament_B	What kind of medicaments do you take?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t829_medicament_B	829	medicament_B	What kind of medicaments do you take?	9999999	missing		discrete	QUPG	question form popgen
t830_medicament2_A	830	medicament2_A	Which of the following medicaments do you take regularly? (2)	0	unknown		discrete	QUPG	question form popgen
t830_medicament2_A	830	medicament2_A	Which of the following medicaments do you take regularly? (2)	1	sex hormones		discrete	QUPG	question form popgen
t830_medicament2_A	830	medicament2_A	Which of the following medicaments do you take regularly? (2)	2	menopause hormones		discrete	QUPG	question form popgen
t830_medicament2_A	830	medicament2_A	Which of the following medicaments do you take regularly? (2)	3	anti-baby-pill		discrete	QUPG	question form popgen
t830_medicament2_A	830	medicament2_A	Which of the following medicaments do you take regularly? (2)	4	Cortison		discrete	QUPG	question form popgen
t830_medicament2_A	830	medicament2_A	Which of the following medicaments do you take regularly? (2)	5	other		discrete	QUPG	question form popgen
t831_medicament2_B	831	medicament2_B	What kind of medicaments do you take? (2)	1	sex hormones		discrete	QUPG	question form popgen
t831_medicament2_B	831	medicament2_B	What kind of medicaments do you take? (2)	2	birth control pill		discrete	QUPG	question form popgen
t831_medicament2_B	831	medicament2_B	What kind of medicaments do you take? (2)	3	cortisone preparations		discrete	QUPG	question form popgen
t831_medicament2_B	831	medicament2_B	What kind of medicaments do you take? (2)	4	other		discrete	QUPG	question form popgen
t831_medicament2_B	831	medicament2_B	What kind of medicaments do you take? (2)	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t831_medicament2_B	831	medicament2_B	What kind of medicaments do you take? (2)	9999999	missing		discrete	QUPG	question form popgen
t833_medicament3_B	833	medicament3_B	What kind of medicaments do you take? (3)	1	sex hormones		discrete	QUPG	question form popgen
t833_medicament3_B	833	medicament3_B	What kind of medicaments do you take? (3)	2	birth control pill		discrete	QUPG	question form popgen
t833_medicament3_B	833	medicament3_B	What kind of medicaments do you take? (3)	3	cortisone preparations		discrete	QUPG	question form popgen
t833_medicament3_B	833	medicament3_B	What kind of medicaments do you take? (3)	4	other		discrete	QUPG	question form popgen
t833_medicament3_B	833	medicament3_B	What kind of medicaments do you take? (3)	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t833_medicament3_B	833	medicament3_B	What kind of medicaments do you take? (3)	9999999	missing		discrete	QUPG	question form popgen
t850_IBD_type_A	850	IBD_type_A	Which inflammatory bowel disease has been diagnosed?	0	unknown		discrete	QUPG	question form popgen
t850_IBD_type_A	850	IBD_type_A	Which inflammatory bowel disease has been diagnosed?	1	no		discrete	QUPG	question form popgen
t850_IBD_type_A	850	IBD_type_A	Which inflammatory bowel disease has been diagnosed?	2	Crohn´s disease		discrete	QUPG	question form popgen
t850_IBD_type_A	850	IBD_type_A	Which inflammatory bowel disease has been diagnosed?	3	ulcerative colitis		discrete	QUPG	question form popgen
t850_IBD_type_A	850	IBD_type_A	Which inflammatory bowel disease has been diagnosed?	4	IBD (CED) 		discrete	QUPG	question form popgen
t850_IBD_type_A	850	IBD_type_A	Which inflammatory bowel disease has been diagnosed?	5	collagene colitis		discrete	QUPG	question form popgen
t850_IBD_type_A	850	IBD_type_A	Which inflammatory bowel disease has been diagnosed?	6	colon carcinoma		discrete	QUPG	question form popgen
t850_IBD_type_A	850	IBD_type_A	Which inflammatory bowel disease has been diagnosed?	7	other bowel disease		discrete	QUPG	question form popgen
t850_IBD_type_A	850	IBD_type_A	Which inflammatory bowel disease has been diagnosed?	8	diagnosis not clear		discrete	QUPG	question form popgen
t850_IBD_type_A	850	IBD_type_A	Which inflammatory bowel disease has been diagnosed?	9	multiple bowel diseases		discrete	QUPG	question form popgen
t850_IBD_type_A	850	IBD_type_A	Which inflammatory bowel disease has been diagnosed?	10	do not know		discrete	QUPG	question form popgen
t850_IBD_type_A	850	IBD_type_A	Which inflammatory bowel disease has been diagnosed?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t850_IBD_type_A	850	IBD_type_A	Which inflammatory bowel disease has been diagnosed?	9999999	misssing		discrete	QUPG	question form popgen
t851_IBD_type_B	851	IBD_type_B	Which inflammatory bowel disease has been diagnosed?	1	Crohn´s disease		discrete	QUPG	question form popgen
t851_IBD_type_B	851	IBD_type_B	Which inflammatory bowel disease has been diagnosed?	2	ulcerative colitis		discrete	QUPG	question form popgen
t851_IBD_type_B	851	IBD_type_B	Which inflammatory bowel disease has been diagnosed?	3	other		discrete	QUPG	question form popgen
t851_IBD_type_B	851	IBD_type_B	Which inflammatory bowel disease has been diagnosed?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t851_IBD_type_B	851	IBD_type_B	Which inflammatory bowel disease has been diagnosed?	9999999	missing		discrete	QUPG	question form popgen
t883_gender	883	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	0	unknown		discrete	QUPG	question form popgen
t883_gender	883	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	1	male		discrete	QUPG	question form popgen
t883_gender	883	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	2	female		discrete	QUPG	question form popgen
t883_gender	883	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	3	other		discrete	QUPG	question form popgen
t883_gender	883	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t883_gender	883	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	9999999	missing		discrete	QUPG	question form popgen
t899_medication_regularly	899	medication_regularly	Do you take medicaments regularly?	0	unknown		discrete	QUPG	question form popgen
t899_medication_regularly	899	medication_regularly	Do you take medicaments regularly?	1	yes		discrete	QUPG	question form popgen
t899_medication_regularly	899	medication_regularly	Do you take medicaments regularly?	2	no		discrete	QUPG	question form popgen
t899_medication_regularly	899	medication_regularly	Do you take medicaments regularly?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t899_medication_regularly	899	medication_regularly	Do you take medicaments regularly?	9999999	missing		discrete	QUPG	question form popgen
t903_diabetes	903	diabetes	Has diabetes been diagnosed (follow-up studies before 05/2016: after the previous date of sampling)?	0	unknown		discrete	QUPG	question form popgen
t903_diabetes	903	diabetes	Has diabetes been diagnosed (follow-up studies before 05/2016: after the previous date of sampling)?	1	yes		discrete	QUPG	question form popgen
t903_diabetes	903	diabetes	Has diabetes been diagnosed (follow-up studies before 05/2016: after the previous date of sampling)?	2	no		discrete	QUPG	question form popgen
t903_diabetes	903	diabetes	Has diabetes been diagnosed (follow-up studies before 05/2016: after the previous date of sampling)?	3	do not know/ not examined		discrete	QUPG	question form popgen
t903_diabetes	903	diabetes	Has diabetes been diagnosed (follow-up studies before 05/2016: after the previous date of sampling)?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t903_diabetes	903	diabetes	Has diabetes been diagnosed (follow-up studies before 05/2016: after the previous date of sampling)?	9999999	missing		discrete	QUPG	question form popgen
t904_diabetes_type	904	diabetes_type	Which type of diabetes has been diagnosed?	0	unknown		discrete	QUPG	question form popgen
t904_diabetes_type	904	diabetes_type	Which type of diabetes has been diagnosed?	1	juvenile-onset diabetes (I)		discrete	QUPG	question form popgen
t904_diabetes_type	904	diabetes_type	Which type of diabetes has been diagnosed?	2	adult onset diabetes (II)		discrete	QUPG	question form popgen
t904_diabetes_type	904	diabetes_type	Which type of diabetes has been diagnosed?	3	other diabetes		discrete	QUPG	question form popgen
t904_diabetes_type	904	diabetes_type	Which type of diabetes has been diagnosed?	4	do not know		discrete	QUPG	question form popgen
t904_diabetes_type	904	diabetes_type	Which type of diabetes has been diagnosed?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t904_diabetes_type	904	diabetes_type	Which type of diabetes has been diagnosed?	9999999	missing		discrete	QUPG	question form popgen
t906_liver_disease	906	liver_disease	Have you ever been diagnosed with any liver disease?	0	unknown		discrete	QUPG	question form popgen
t906_liver_disease	906	liver_disease	Have you ever been diagnosed with any liver disease?	1	yes		discrete	QUPG	question form popgen
t906_liver_disease	906	liver_disease	Have you ever been diagnosed with any liver disease?	2	no		discrete	QUPG	question form popgen
t906_liver_disease	906	liver_disease	Have you ever been diagnosed with any liver disease?	3	do not know/ not examined		discrete	QUPG	question form popgen
t906_liver_disease	906	liver_disease	Have you ever been diagnosed with any liver disease?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t906_liver_disease	906	liver_disease	Have you ever been diagnosed with any liver disease?	9999999	missing		discrete	QUPG	question form popgen
t1598_medicaments_which	1598	medicaments_which	Description field: Which medicaments do you take regularly?	1	exists (see Excel file)		discrete	QUPG	question form popgen
t1598_medicaments_which	1598	medicaments_which	Description field: Which medicaments do you take regularly?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1598_medicaments_which	1598	medicaments_which	Description field: Which medicaments do you take regularly?	9999999	missing		discrete	QUPG	question form popgen
t1663_gender	1663	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	1	male		discrete	SACS	sample accompanying sheet
t1663_gender	1663	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	2	female		discrete	SACS	sample accompanying sheet
t1663_gender	1663	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	3	other		discrete	SACS	sample accompanying sheet
t1663_gender	1663	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	7777777	unreadable/inconsistent		discrete	SACS	sample accompanying sheet
t1663_gender	1663	gender	gender (add new value = 3 for all questionnaires collected since 2019 exclusive FOC_F2)	9999999	missing		discrete	SACS	sample accompanying sheet
t1664_year_of_birth	1664	year_of_birth	Year of birth	1900 - 2030			continuous	SACS	sample accompanying sheet
t1664_year_of_birth	1664	year_of_birth	Year of birth	7777777	unreadable/inconsistent		continuous	SACS	sample accompanying sheet
t1664_year_of_birth	1664	year_of_birth	Year of birth	9999999	missing		continuous	SACS	sample accompanying sheet
t1774_antibiotics_6_month	1774	antibiotics_6_month	Have you taken antibiotics during the last 6 months?	1	yes		discrete	QUPG	question form popgen
t1774_antibiotics_6_month	1774	antibiotics_6_month	Have you taken antibiotics during the last 6 months?	2	no		discrete	QUPG	question form popgen
t1774_antibiotics_6_month	1774	antibiotics_6_month	Have you taken antibiotics during the last 6 months?	3	do not know		discrete	QUPG	question form popgen
t1774_antibiotics_6_month	1774	antibiotics_6_month	Have you taken antibiotics during the last 6 months?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1774_antibiotics_6_month	1774	antibiotics_6_month	Have you taken antibiotics during the last 6 months?	9999999	missing		discrete	QUPG	question form popgen
t1801_IBD_year	1801	IBD_year	In which year was your inflammatory bowel disease first diagnosed?	1900 - 2030			continuous	QUPG	question form popgen
t1801_IBD_year	1801	IBD_year	In which year was your inflammatory bowel disease first diagnosed?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t1801_IBD_year	1801	IBD_year	In which year was your inflammatory bowel disease first diagnosed?	9999999	missing		continuous	QUPG	question form popgen
t1802_IBD_age	1802	IBD_age	How old were you when your inflammatory bowel disease was diagnosed?	0 - 120			continuous	QUPG	question form popgen
t1802_IBD_age	1802	IBD_age	How old were you when your inflammatory bowel disease was diagnosed?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t1802_IBD_age	1802	IBD_age	How old were you when your inflammatory bowel disease was diagnosed?	9999999	missing		continuous	QUPG	question form popgen
t1885_4_defecat_3_months	1885	4_defecat_3_months	Do you or did you have more than 4 defecations per day over a period of more than 3 months (follow-up of studies before 05/2016: after the previous date of sampling)?	1	yes		discrete	QUPG	question form popgen
t1885_4_defecat_3_months	1885	4_defecat_3_months	Do you or did you have more than 4 defecations per day over a period of more than 3 months (follow-up of studies before 05/2016: after the previous date of sampling)?	2	no		discrete	QUPG	question form popgen
t1885_4_defecat_3_months	1885	4_defecat_3_months	Do you or did you have more than 4 defecations per day over a period of more than 3 months (follow-up of studies before 05/2016: after the previous date of sampling)?	3	do not know		discrete	QUPG	question form popgen
t1885_4_defecat_3_months	1885	4_defecat_3_months	Do you or did you have more than 4 defecations per day over a period of more than 3 months (follow-up of studies before 05/2016: after the previous date of sampling)?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1885_4_defecat_3_months	1885	4_defecat_3_months	Do you or did you have more than 4 defecations per day over a period of more than 3 months (follow-up of studies before 05/2016: after the previous date of sampling)?	9999999	missing		discrete	QUPG	question form popgen
t1891_rectal_tenesmus	1891	rectal_tenesmus	How was your rectal tenesmus during the last 24 hours?	0	unknown		discrete	QUPG	question form popgen
t1891_rectal_tenesmus	1891	rectal_tenesmus	How was your rectal tenesmus during the last 24 hours?	1	normal		discrete	QUPG	question form popgen
t1891_rectal_tenesmus	1891	rectal_tenesmus	How was your rectal tenesmus during the last 24 hours?	2	hasty rectal tenesmus		discrete	QUPG	question form popgen
t1891_rectal_tenesmus	1891	rectal_tenesmus	How was your rectal tenesmus during the last 24 hours?	3	continuous, but controllable		discrete	QUPG	question form popgen
t1891_rectal_tenesmus	1891	rectal_tenesmus	How was your rectal tenesmus during the last 24 hours?	4	anal incontinence		discrete	QUPG	question form popgen
t1891_rectal_tenesmus	1891	rectal_tenesmus	How was your rectal tenesmus during the last 24 hours?	12	normal + hasty rectal tenesmus		discrete	QUPG	question form popgen
t1891_rectal_tenesmus	1891	rectal_tenesmus	How was your rectal tenesmus during the last 24 hours?	13	normal + continuous, but contr		discrete	QUPG	question form popgen
t1891_rectal_tenesmus	1891	rectal_tenesmus	How was your rectal tenesmus during the last 24 hours?	14	normal + anal incontinence		discrete	QUPG	question form popgen
t1891_rectal_tenesmus	1891	rectal_tenesmus	How was your rectal tenesmus during the last 24 hours?	23	hasty + continuous		discrete	QUPG	question form popgen
t1891_rectal_tenesmus	1891	rectal_tenesmus	How was your rectal tenesmus during the last 24 hours?	24	hasty + anal incontinence		discrete	QUPG	question form popgen
t1891_rectal_tenesmus	1891	rectal_tenesmus	How was your rectal tenesmus during the last 24 hours?	7777777	unreadable/inconsistent		discrete	QUPG	question form popgen
t1891_rectal_tenesmus	1891	rectal_tenesmus	How was your rectal tenesmus during the last 24 hours?	9999999	missing		discrete	QUPG	question form popgen
t1892_fever_last_week	1892	fever_last_week	Did you have fever (more than 37,8 °C) during the last 7 days?	0	unknown		discrete	QUPG	question form popgen
t1892_fever_last_week	1892	fever_last_week	Did you have fever (more than 37,8 °C) during the last 7 days?	1	yes		discrete	QUPG	question form popgen
